gene,rna_pearson_r,rna_spearman_r,rna_n_obs,protein_pearson_r,protein_spearman_r,protein_n_obs,group
AACS,0.25681133733948414,0.19723549936205106,979,0.1527340501869484,0.14183278751045988,493,non-significant
AAK1,0.1627855197486753,0.13090144917137386,979,0.10233818130293193,0.0827415072967599,702,non-significant
ABCA7,0.04837423676635365,0.04439168363200979,979,0.13543734459753928,0.15157228809104262,138,non-significant
ABCB10,0.18506116350493051,0.15756109664698983,979,,,0,non-significant
ABCB6,0.2124102179265385,0.1981175611143053,979,-0.03620843888717291,-0.04812791364281447,775,non-significant
ABCB8,0.44458638734029454,0.42964215182580334,979,,,0,non-significant
ABCC1,0.12623962558811158,0.0984333234779669,979,,,0,non-significant
ABCC10,0.2829144293319912,0.2233238953776286,979,,,0,non-significant
ABCC4,0.05394950324269501,0.06161607148679504,979,,,0,non-significant
ABCC5,0.29498336640831857,0.24944079629879815,979,,,0,non-significant
ABCD3,0.45462188232674183,0.38420264269581,979,0.3598819973007583,0.35617923906770843,773,non-significant
ABCD4,0.24537442181004515,0.20663487573926184,979,,,0,non-significant
ABCF1,0.3236626183813418,0.2944920127957699,979,0.18734488389622928,0.13085718767273583,775,non-significant
ABCF2,0.4184061103030744,0.3935567201332801,979,0.2628204176260495,0.25274324860253766,741,non-significant
ABCF3,0.4398319141664907,0.40512640547347245,979,0.1679770569216445,0.1393374333486,703,non-significant
ABHD12,0.4664314080578348,0.4638008197147471,979,,,0,non-significant
ABHD13,0.5177755684053876,0.4484140087025651,979,,,0,non-significant
ABHD14A,0.22548913899464207,0.225248472697185,979,,,0,non-significant
ABHD14B,0.2082564647770037,0.22306948012075986,979,,,0,non-significant
ABHD17B,0.16132828641086927,0.15212828681218846,979,,,0,non-significant
ABHD2,0.23754795616354055,0.25718950239848226,979,,,0,non-significant
ABHD3,0.26874953084299613,0.2173527508416149,979,,,0,non-significant
ABI1,0.27806273156033473,0.2747413144074837,979,0.14852514317362986,0.15018616382795666,766,non-significant
ABI2,0.1892311597231411,0.1655341028243275,979,0.0913746080920754,0.07828046212096998,578,non-significant
ABO,0.2007114203502337,0.20416483037133182,979,,,0,non-significant
ABR,0.18664521440597948,0.21216636100394085,979,0.16142535561110732,0.162646185178273,278,non-significant
ABRAXAS1,0.057187683467129644,0.039629629266647814,979,,,0,non-significant
ABRAXAS2,0.3260963164086391,0.25891622998720615,979,,,0,non-significant
ACAA1,0.3381071067171598,0.29391464331370903,979,,,0,non-significant
ACAA2,0.18892127421450047,0.29278709009333115,979,,,0,non-significant
ACAD8,0.405279403299468,0.38218528841537935,979,0.3007631479422108,0.29608167091762255,690,non-significant
ACAD9,0.31281152967386605,0.3028722870678965,979,0.4648227547337548,0.47449656635837395,775,non-significant
ACADM,0.16060381868645737,0.12201255653799059,979,0.16802220315177296,0.11399446556369719,774,non-significant
ACADS,0.19972065432178177,0.17626068686014226,979,0.13435616747223061,0.14136584116369705,552,non-significant
ACADSB,0.24738666387450375,0.11894222715472275,979,,,0,non-significant
ACADVL,0.32696966387971804,0.3347839724358464,979,,,0,non-significant
ACAP2,0.22693633982408645,0.1849739856967938,979,0.1366640112073131,0.1493464477592782,597,non-significant
ACAP3,0.20474382386414008,0.1516481280940039,979,,,0,non-significant
ACAT1,0.32866745404554254,0.2613371777284126,979,,,0,non-significant
ACAT2,0.20441798822917395,0.19698825570034995,979,,,0,non-significant
ACBD3,0.3237710883905548,0.31101598598760793,979,,,0,non-significant
ACBD5,0.3406558968687724,0.34106723948038914,979,0.3358351472513543,0.3276634449776858,727,non-significant
ACO1,0.2588619931274223,0.25609721475015257,979,,,0,non-significant
ACO2,0.268744308678351,0.210829072206349,979,,,0,non-significant
ACSF3,0.14185216732459166,0.16660114577326246,979,0.07783485851540607,0.09006261358972693,575,non-significant
ACSL3,0.3067383988898027,0.32972135004323727,979,0.26260103237989973,0.2850375038516157,773,non-significant
ACSM3,0.08641079494314115,0.11540577885988237,979,0.1560437855903643,0.11928242678616253,94,non-significant
ACSS2,0.3305752832992762,0.3397273552313523,979,,,0,non-significant
ACTB,0.17033495942414367,0.13554627549265252,979,,,0,non-significant
ACTG1,0.1333567797401295,0.11635544098795324,979,,,0,non-significant
ACTL6A,0.4115429287816712,0.3802061525675358,979,,,0,non-significant
ACTN1,0.25677573295205885,0.262918439611923,979,0.2294477713170744,0.2224171395360396,744,non-significant
ACTN4,0.35292285366645737,0.3408386667048951,979,0.3414652050445963,0.36024682852867995,775,non-significant
ACTR1B,0.13411770745949325,0.05417039817019545,979,,,0,non-significant
ACTR2,0.0869335900440279,0.01864279924562874,979,,,0,non-significant
ACTR3,0.18481486180175724,0.13851856970028523,979,,,0,non-significant
ACTR6,0.17643585326363362,0.14173787892553164,979,,,0,non-significant
ACTR8,0.30847457909325265,0.2833861141561851,979,,,0,non-significant
ACVR1B,0.2025511175829408,0.21876999394162744,979,,,0,non-significant
ACVR2B,0.13830054666076916,0.18309898858912013,979,,,0,non-significant
ACYP1,0.1789992092324028,0.16028842943142693,979,-0.055577867902966496,-0.0450779300630809,579,non-significant
ACYP2,0.10646836150895682,0.05844189040944698,979,-0.03368448893553214,-0.09425677295752528,372,non-significant
ADAM10,0.17727812865395096,0.17387084430266797,979,,,0,non-significant
ADAM15,0.29369611414348135,0.27959156056106044,979,,,0,non-significant
ADAM17,0.1745994861893754,0.26115546726817274,979,,,0,non-significant
ADAM9,0.24280149288024502,0.23077029471105107,979,0.10333581104170794,0.10055989678577902,582,non-significant
ADAR,0.319861384255159,0.2598806764067072,979,,,0,non-significant
ADARB1,0.15469092535407272,0.1324931536084617,979,,,0,non-significant
ADAT1,0.3292493271413839,0.2802236546153087,979,,,0,non-significant
ADCY7,0.11445256301007325,0.10435845534168729,979,,,0,non-significant
ADD1,0.35361817440296334,0.30012815800077436,979,,,0,non-significant
ADD3,0.05101313804226692,0.030628026174922298,979,,,0,non-significant
ADH5,0.16694276304401734,0.1762410469912656,979,,,0,non-significant
ADIPOR1,0.4110216603123286,0.38951677083276504,979,,,0,non-significant
ADIPOR2,0.43054797480992324,0.3710012487033864,979,,,0,non-significant
ADNP,0.2602843066463615,0.23213045872172233,979,0.17321465681207862,0.1704900077443826,771,non-significant
ADNP2,0.3598170904892152,0.36132603203800945,979,,,0,non-significant
ADSL,0.25060543067974284,0.2170155259574037,979,,,0,non-significant
AEBP1,-0.18531547385666314,-0.1369822906883039,979,,,0,non-significant
AEN,0.13648303829262864,0.06937957608788978,979,,,11,non-significant
AFF1,0.14038732661647907,0.11984062356566458,979,0.025597258153207958,0.025641636013133177,216,non-significant
AFF3,-0.12023467296955867,-0.07477524028660303,979,,,0,non-significant
AFF4,0.27540443252317287,0.24285914786527968,979,0.11717322330067065,0.12302106403746291,411,non-significant
AFG3L2,0.4333133039291753,0.392090022418522,979,,,0,non-significant
AGAP1,0.23741909019861007,0.23768203774461386,979,,,0,non-significant
AGAP3,0.35964712163494883,0.3944070813157659,979,0.12029298696953511,0.09278272106869544,592,non-significant
AGFG1,0.24203903203990274,0.21397983290596506,979,0.08173321442188007,0.05812788483551416,758,non-significant
AGO1,0.22342144550056853,0.13722037931427547,979,0.09424925027340622,0.051739347004281656,344,non-significant
AGO2,0.29434568680219214,0.2517268860036726,979,0.09916596350789231,0.09612341235027289,461,non-significant
AGO3,0.21821883152618685,0.14277177432001856,979,,,0,non-significant
AGO4,0.15301673756838038,0.12220499950053892,979,0.01629283812488968,0.027347610251760045,163,non-significant
AGPAT1,0.20336898788710112,0.18711672773435098,979,,,0,non-significant
AGPAT2,0.28626740412887297,0.32508279012373587,979,,,0,non-significant
AGPAT3,0.24534242420781,0.24909835202146888,979,,,0,non-significant
AGPAT4,0.20050868897498614,0.16366800644992943,979,,,0,non-significant
AGPAT5,0.4514447320147015,0.44171984387428087,979,,,0,non-significant
AHCY,0.32899397717136025,0.2587850440721893,979,,,0,non-significant
AHCYL1,0.3701224164103798,0.35770095129261104,979,,,0,non-significant
AK1,0.2590118176309971,0.2374143840848349,979,,,0,non-significant
AK2,0.31273351361205615,0.2680391161004784,979,,,0,non-significant
AK4,0.1935581897149951,0.20989475573234778,979,,,0,non-significant
AKAP8,0.2311908011643648,0.12545373768799625,979,0.2830763003390381,0.2216048102704052,774,non-significant
AKAP8L,0.23320219575798462,0.145273154000416,979,,,0,non-significant
AKIRIN1,0.43798126242771185,0.25049979734069683,979,,,0,non-significant
AKIRIN2,0.32269531130569407,0.29633899638312616,979,,,0,non-significant
AKR1A1,0.18837900031290644,0.09901400025654801,979,,,0,non-significant
AKR7A2,0.273802044338509,0.23140467171230925,979,,,0,non-significant
AKT1,0.3383380347778514,0.29437472752533095,979,,,0,non-significant
AKT2,0.3887324277497003,0.23527330489964607,979,0.18326324627982282,0.12445990473771305,385,non-significant
ALAS1,0.27389085187666595,0.2708717245984851,979,,,0,non-significant
ALDH16A1,0.18607759579682548,0.18792784203301757,979,,,0,non-significant
ALDH1B1,0.2925610874851702,0.2878197767580592,979,,,0,non-significant
ALDH1L2,-0.025306289570814308,0.026350045441785114,979,,,0,non-significant
ALDH2,0.08285493718174287,0.11100031118865233,979,0.18119958377598078,0.18985173723054916,618,non-significant
ALDH5A1,-0.034548940857067535,-0.020424281587396013,979,,,0,non-significant
ALDH6A1,0.15553631578061716,0.1099269103434016,979,,,0,non-significant
ALDH9A1,0.2238390885382992,0.18454614213222534,979,,,0,non-significant
ALDOA,0.2808147597554789,0.25593955595967743,979,0.06684121535445985,0.08532888382626344,775,non-significant
ALDOC,0.032310592503739445,0.04628549870634074,979,-0.02260283825370559,-0.05633141874797231,775,non-significant
ALG11,0.4129637389512373,0.36228139596933456,979,0.2710145250829399,0.25933317694306385,293,non-significant
ALG12,0.3758938215143202,0.3364810379306653,979,,,0,non-significant
ALG2,0.48593419817413586,0.4533178193062296,979,0.3359778911445331,0.3272524548358672,619,non-significant
ALG5,0.4619375798450176,0.41004524236277395,979,0.38313083380073476,0.3639054627785337,763,non-significant
ALG6,0.2904394695780256,0.2273903660163546,979,,,0,non-significant
ALG8,0.5121256547753676,0.4228719101303167,979,,,0,non-significant
ALYREF,0.17039731325058075,0.14488848465286974,979,,,0,non-significant
AMHR2,-0.002945281590761935,0.07719488562247603,979,,,0,non-significant
ANAPC11,0.4476892875932883,0.4444263533404302,979,,,0,non-significant
ANK1,0.08088809305634335,0.027367333574725573,979,0.07020805709282693,0.027720979579027073,304,non-significant
ANKHD1,0.15809411461003345,0.14240705776679413,979,,,0,non-significant
ANKRD13A,0.0072627485545458835,0.008433554937545183,979,,,0,non-significant
ANKRD13C,0.33720642267001566,0.29993125506396034,979,,,0,non-significant
ANKRD13D,0.3169938230194148,0.2128231270534761,979,,,0,non-significant
ANKRD16,0.2548008414071067,0.23719658129224583,979,,,0,non-significant
ANKRD17,0.18466523696289194,0.14792753163667965,979,,,0,non-significant
ANKRD28,0.25144451206020735,0.24518533251783944,979,,,0,non-significant
ANKRD36,0.14027942221928086,0.1443334179458294,979,,,0,non-significant
ANKRD36C,-0.012108550591978923,-0.04566351447086219,979,,,0,non-significant
ANKRD39,0.15671838453691753,0.11756781719572539,979,,,0,non-significant
ANKRD52,0.14032010991348426,0.13069306857883936,979,,,0,non-significant
ANO10,0.2811128848406338,0.30290675702868797,979,0.12065385017968848,0.13031538242493115,275,non-significant
ANO6,0.24916707369006985,0.18778000770197562,979,0.08730831580113631,0.06316246288366548,550,non-significant
ANP32A,0.15575855282774917,0.10914800685738887,979,,,0,non-significant
ANP32B,0.16330949773297165,0.12495849670879319,979,,,0,non-significant
ANP32E,0.18770250072023548,0.13579621450949736,979,,,0,non-significant
ANTKMT,,,0,,,0,non-significant
ANXA11,0.27963229705510606,0.2711824365870929,979,,,0,non-significant
ANXA2,0.25527768915137483,0.2816008870762489,979,0.3015762622234284,0.3135792744815321,765,non-significant
ANXA3,0.07540184529855508,0.08050046946900209,979,0.013654965950299384,-0.0029640812906763397,544,non-significant
ANXA4,0.15300037000212455,0.12244031438104691,979,0.041098733799441574,0.02070031400027557,736,non-significant
ANXA5,0.207322592615492,0.21362311786885468,979,0.1969730168415743,0.22450141057401796,763,non-significant
ANXA6,0.014555353299201957,-0.01289339468253063,979,-0.015538052444559636,-0.027342818478078002,721,non-significant
ANXA7,0.42466397837444614,0.3874243067475344,979,0.27918411872229326,0.2496373983038185,775,non-significant
AP1B1,0.25985434474248065,0.22109208811797393,979,0.2139615060122554,0.2001244689688028,775,non-significant
AP1G1,0.3533931129072162,0.32719698233049394,979,0.23878790597376104,0.2663813723437773,772,non-significant
AP1G2,0.2477667412782863,0.25449226131469915,979,0.14171695176743948,0.1659268791243682,423,non-significant
AP1M1,0.23118660207447092,0.1966507814268337,979,-0.0051627093950788365,0.02917123294877817,680,non-significant
AP1S1,0.37192049984438,0.3977001115050976,979,0.05912651015165995,0.08354657089507302,752,non-significant
AP2A1,0.22814040353959225,0.21596536332857533,979,0.3553643767720676,0.3670364387568614,775,non-significant
AP2A2,0.24235998389486185,0.22555268022450659,979,0.21511215441925727,0.20515396494976432,754,non-significant
AP2B1,0.3179554093392592,0.29803384403184546,979,0.21289909531465656,0.21707106394346898,775,non-significant
AP2M1,0.3321127353933318,0.30189391293399453,979,0.2036218321867364,0.22809710625946608,774,non-significant
AP2S1,0.2799798519748231,0.29341700784766245,979,0.2559700551728793,0.2940319604659438,774,non-significant
AP3B1,0.3490524908749842,0.32564827102638927,979,0.12005658465527644,0.1294099356468449,762,non-significant
AP3M1,0.29287378198547076,0.1885819194508529,979,0.033500649655209866,-0.01108590265736824,609,non-significant
AP3M2,0.37675583525607587,0.3574404434319097,979,0.05334496613680258,0.0560872673348013,134,non-significant
AP3S1,0.27258868437490497,0.24104971854986837,979,0.12148248169616846,0.12267479240535246,757,non-significant
AP3S2,0.30036002959482205,0.2846995113614306,979,0.0845621207106577,0.04207740450586039,382,non-significant
AP4S1,0.4742332195991044,0.457065894305634,979,0.012903418699781108,0.021773204163500776,176,non-significant
APBA2,-0.021986531958352314,0.000671277134992265,979,,,0,non-significant
APH1A,0.502121454693494,0.4377351165055147,979,,,0,non-significant
APLP2,0.3358198481344331,0.350357985459422,979,0.29190259431783405,0.27491495237457425,595,non-significant
APOBEC3C,0.06654313227931263,0.06471393197901067,979,,,0,non-significant
APPBP2,0.35855769671668597,0.24990322592711228,979,,,0,non-significant
ARF4,0.344607892255239,0.352231799298126,979,0.3748170774979426,0.37297945160176227,775,significant
ARFGAP1,0.3731858576889366,0.3532763712397879,979,,,0,non-significant
ARFGAP2,0.2697238511115252,0.22184465378081572,979,,,0,non-significant
ARFGAP3,0.3057293816563283,0.3109949783857551,979,,,0,non-significant
ARFGEF1,0.48392907942709446,0.45732691210964793,979,,,0,non-significant
ARFGEF2,0.4485629340299781,0.43528273250969335,979,,,0,non-significant
ARFIP1,0.3210007944328912,0.30151637812375465,979,,,0,non-significant
ARFIP2,0.4091841498639943,0.39887015940114773,979,,,0,non-significant
ARHGAP11A,0.11908320297448664,0.09230139500893868,979,,,0,non-significant
ARHGAP17,0.04654859434143449,0.017183545423423336,979,,,0,non-significant
ARHGAP22,0.07678465633694506,0.07778516840805975,979,,,0,non-significant
ARHGAP24,0.1269358238467418,0.15646597915138669,979,,,0,non-significant
ARHGDIA,0.21044180699019838,0.1615549321076077,979,,,0,non-significant
ARHGDIG,0.015869859565898054,0.05890192200123846,979,,,0,non-significant
ARHGEF1,0.1190172293247343,0.09806884433654005,979,,,0,non-significant
ARHGEF12,0.32159977386959704,0.3400262128703114,979,,,0,non-significant
ARHGEF2,0.1384077622965097,0.04862519084739719,979,,,0,non-significant
ARHGEF7,0.35412462381562765,0.326404991287364,979,,,0,non-significant
ARID1A,0.14369090530883083,0.11427951882251862,979,,,0,non-significant
ARID1B,0.25321055230470335,0.23061748502637186,979,,,0,non-significant
ARID3A,0.09994283908410317,0.03810923907559967,979,,,0,non-significant
ARID3B,0.07207679739929178,0.04879913697312055,979,,,0,non-significant
ARID4A,0.1987041739259398,0.16845171311937682,979,,,0,non-significant
ARID4B,0.2545903095219687,0.20291336101929486,979,,,0,non-significant
ARID5A,-0.07966355946813602,-0.05669742148782239,979,,,0,non-significant
ARID5B,0.12960597326907708,0.06368862444557696,979,,,0,non-significant
ARIH1,0.19739389435992027,0.13923931284124155,979,,,0,non-significant
ARIH2,0.36534781993578974,0.3613812575042262,979,,,0,non-significant
ARMC10,0.4520050263217785,0.44428425973457936,979,,,0,non-significant
ARNT,0.34894834809550235,0.22617073733793935,979,0.11943523804287488,0.03670482917940318,400,non-significant
ARPC1A,0.5203699988043688,0.5118307614959637,979,,,0,non-significant
ARPC1B,0.2649907284678278,0.24618465415628946,979,,,0,non-significant
ARPC5,0.1721309830891991,0.14879754953092267,979,-0.06819130836236925,-0.10822639434637074,775,non-significant
ARPC5L,0.30075245369875714,0.2663636342687289,979,,,0,non-significant
ARPP19,0.2621522187313049,0.21618096544911952,979,,,0,non-significant
ARRB1,0.17178856825131036,0.1579710996119553,979,0.10448533861460176,0.08199576111592524,367,non-significant
ARRB2,0.07729050126550632,0.062435154796488194,979,0.10698332862511692,0.10038315839088087,286,non-significant
ARRDC1,0.26983226282368206,0.2517456935871659,979,,,0,non-significant
ARVCF,0.16948080305663668,0.1360329275186953,979,,,0,non-significant
ASAH1,0.2766656909465253,0.2875664789348774,979,0.1848351554897122,0.1833813855223253,708,non-significant
ASAP1,0.2532249876319811,0.23161711433964102,979,0.16483586663774916,0.09019004774787447,459,non-significant
ASB1,0.23951922719459007,0.21001836287359957,979,,,0,non-significant
ASCC3,0.2984063662004297,0.2654008554129661,979,0.17274882435896682,0.1489904211463416,418,non-significant
ASCL2,0.056057961983556275,0.03615575872753048,979,,,15,non-significant
ASF1A,0.2617867226866416,0.2531252969279869,979,0.0407607335493129,-0.004832525162949487,599,non-significant
ASF1B,0.1384949007210617,0.13224036158120925,979,-0.031353641719166034,-0.058507179157386166,411,non-significant
ASH1L,0.37551178810150115,0.34188056951488754,979,,,0,non-significant
ASL,0.3048022200481534,0.29015417168365437,979,,,0,non-significant
ASRGL1,0.10841050382244286,0.10306049793044293,979,,,0,non-significant
ASXL1,0.2866435333938898,0.2222427096568259,979,,,0,non-significant
ASXL2,0.12401504781100522,0.10605186868394643,979,0.09254423345336632,0.06772809554870701,284,non-significant
ATAD1,0.37935768383374446,0.2731287414625412,979,0.3496274928257838,0.34294544818727063,759,non-significant
ATAD2,0.371886435109801,0.33995756092347185,979,0.36343522180880294,0.3326030940650386,712,non-significant
ATAD2B,0.05188524493349843,0.04183891785993967,979,,,0,non-significant
ATAD3A,0.27955191012342895,0.25864286980963175,979,,,0,non-significant
ATAD3B,0.25880389221453703,0.22374763044691875,979,,,0,non-significant
ATF1,0.21822833343649958,0.18331578212337324,979,,,0,non-significant
ATF2,0.1937963499545152,0.12359705789275778,979,0.14995518962449733,0.09715584633505953,492,non-significant
ATF3,0.1322365943157943,0.08516818444973986,979,,,44,non-significant
ATF4,0.1415266504610616,0.11762235084513523,979,0.18694329895048084,0.17784621132681283,632,non-significant
ATF5,-0.04815174388671011,-0.023349754754737953,979,,,0,non-significant
ATF6,0.3320345592896542,0.26765636064005804,979,,,0,non-significant
ATF6B,0.23452447344549374,0.22753423787165092,979,0.07102520493188991,0.011082789507845258,95,non-significant
ATF7,0.17525016944346586,0.16058901150170476,979,0.04826860851461954,0.023003895999226375,477,non-significant
ATG2A,0.24523113522537413,0.2288139938653594,979,0.20098220188643923,0.1880090811035784,223,non-significant
ATG4B,0.3007476958007267,0.2729534010993578,979,0.20082617403789868,0.18534341652995562,115,non-significant
ATG4C,0.17871573167211338,0.11832627376624329,979,,,8,non-significant
ATG4D,0.24064796459147467,0.16651839818660397,979,,,0,non-significant
ATL2,0.2694458434948139,0.27394737914636,979,,,0,non-significant
ATL3,0.26728808804292664,0.2570312332791107,979,,,0,non-significant
ATN1,0.2368329136755872,0.19995280928371403,979,0.10768207662639873,0.07201616348164713,433,non-significant
ATP11A,0.2320610313407275,0.21962542948749725,979,,,0,non-significant
ATP11B,0.26656047424501045,0.22309835370934894,979,,,0,non-significant
ATP13A1,0.23329583125587722,0.17611669593121937,979,,,0,non-significant
ATP13A2,0.21972846968051418,0.21095392724126108,979,,,0,non-significant
ATP13A3,0.28266309117220484,0.2920381005852569,979,,,0,non-significant
ATP1A1,0.31520381402070746,0.34481271908234595,979,,,0,non-significant
ATP2A2,0.2619498027682602,0.2628732785511792,979,,,0,non-significant
ATP2A3,-0.14062834801261367,-0.16449441418393837,979,,,0,non-significant
ATP2B1,0.15777460968263335,0.18773747329423815,979,,,0,non-significant
ATP2C1,0.3300989228610994,0.32353416811693314,979,,,0,non-significant
ATP5F1A,0.4596727071624597,0.41076050032201217,979,,,0,non-significant
ATP5F1B,0.24075841952484758,0.1693343490462602,979,,,0,non-significant
ATP5MC1,0.29602238645401974,0.24854443146422114,979,,,0,non-significant
ATP5MC2,0.13795052799003193,0.09397978715336185,979,,,0,non-significant
ATP5MC3,0.2217680557431903,0.15328732609652382,979,,,0,non-significant
ATP6V0A1,0.23872503197763723,0.1785742067958564,979,,,0,non-significant
ATP6V0A2,0.07568966429844869,0.029935710081945704,979,,,0,non-significant
ATP6V0B,0.40223681230326486,0.3231819953322262,979,,,0,non-significant
ATP6V0C,0.20029047148190876,0.21981314721263334,979,,,0,non-significant
ATP6V0E1,0.39950061839520484,0.41256462425381096,979,,,0,non-significant
ATP6V0E2,0.2756602051863833,0.28441199862139466,979,,,0,non-significant
ATP6V1A,0.2807491384951243,0.2554892456005031,979,,,0,non-significant
ATP6V1B2,0.4204192381917642,0.4094458083034373,979,,,0,non-significant
ATP6V1E1,0.4410245190980772,0.38790236512845494,979,,,0,non-significant
ATP7B,0.23527138563408975,0.19693809189114647,979,,,14,non-significant
ATP8B2,0.0548087782664826,0.005582626536492297,979,,,0,non-significant
ATPSCKMT,,,0,,,0,non-significant
ATXN2,0.19937902802386964,0.1346172472636451,979,,,0,non-significant
ATXN2L,0.11329801399328636,0.05414327046832975,979,,,0,non-significant
ATXN7,0.23240634378093253,0.21258743935010352,979,,,0,non-significant
ATXN7L3,0.18289978187567063,0.1567819169045219,979,,,0,non-significant
ATXN7L3B,0.1882305725373694,0.1467154088491821,979,,,0,non-significant
AUH,0.3137627341251061,0.31115568339207145,979,,,0,non-significant
AURKA,0.41073050303847214,0.42914970140865416,979,0.17042021674503874,0.15947758185232971,505,non-significant
AURKB,0.2567495814999857,0.2877811307322383,979,0.12440705178275227,0.1676679759985801,722,non-significant
AZI2,0.3124085339252536,0.3074490181847646,979,,,0,non-significant
AZIN1,0.40827573016975593,0.3763162482130597,979,,,0,non-significant
B3GALT6,0.3266296981016372,0.26185184496748315,979,,,0,non-significant
B3GNT2,0.15007302436162137,0.0725366608833248,979,,,0,non-significant
B3GNT5,0.3149493107867498,0.3233289923692032,979,,,0,non-significant
B4GALT1,0.2873693772952536,0.2526667985204962,979,,,0,non-significant
B4GALT2,0.31134461700009675,0.2784870810111024,979,,,0,non-significant
B4GALT3,0.47141212157807,0.4051934854676789,979,,,0,non-significant
B4GALT4,0.32413519156288534,0.3245257260173579,979,,,0,non-significant
B4GALT5,0.35963180661062066,0.3747650856266689,979,,,0,non-significant
B4GALT7,0.3826810561834978,0.36168328543630074,979,,,0,non-significant
B9D1,0.3927685008583739,0.399050326569342,979,,,0,non-significant
BACH1,0.2503114292286239,0.23493639711239694,979,,,0,non-significant
BAG3,0.27629833309869345,0.2769251763859954,979,0.11111015048856751,0.1042569204312687,712,non-significant
BAG4,0.5171016913441618,0.46558820133111406,979,0.25455471448341466,0.22683138615217716,579,non-significant
BAHCC1,-0.019403608272007884,-0.01331977193933792,979,,,0,non-significant
BAIAP2,0.2911515533770424,0.3284425442870465,979,,,0,non-significant
BAIAP2L1,0.32220910549626847,0.3486218721906792,979,,,0,non-significant
BAK1,0.21166368431549154,0.20098418428494258,979,,,0,non-significant
BAP1,0.33101589419536803,0.28954723008739774,979,0.012503517488909007,0.03684097742979591,354,non-significant
BAZ2A,0.13440649929883555,0.09748932483851984,979,0.12060347949432076,0.1433008041033955,724,non-significant
BAZ2B,0.19549829171372765,0.17303276480527768,979,,,0,non-significant
BCAP29,0.40303597019377396,0.3811415445362321,979,,,0,non-significant
BCAR1,0.3177729241095586,0.315136692734659,979,0.06484303114125653,0.03755757065080306,477,non-significant
BCAT1,0.10534457677575289,-0.023227234647306232,979,0.03787336125930567,-0.11533968150052913,420,non-significant
BCAT2,0.2527903305107442,0.24212637584755486,979,0.36866085254389735,0.34928999031628116,738,non-significant
BCKDHA,0.21883103198208514,0.18600290615416343,979,,,0,non-significant
BCKDHB,0.2207016078463067,0.21304108968978852,979,,,0,non-significant
BCKDK,0.2613768202635349,0.18866317964785137,979,,,0,non-significant
BCL2L1,0.30764042948897474,0.30969855593700724,979,,,0,non-significant
BCL2L2,0.39889482490091965,0.4026858716269425,979,,,0,non-significant
BCL7A,0.03567679011882002,-0.027855792857203167,979,-0.17683163873962715,-0.2164059090564188,425,non-significant
BCL7B,0.3844063397531648,0.3713968098380447,979,0.1578368496703871,0.18066644882081243,408,non-significant
BCL7C,0.17587570979605865,0.15726498130171204,979,0.20808880568454485,0.2001244835248602,626,non-significant
BCLAF1,0.2211842977035938,0.19142516144694,979,,,0,non-significant
BCR,0.17482695448418567,0.09849729375667522,979,0.03373876041874377,-0.006855254134410085,505,non-significant
BHLHE40,0.21073388953327288,0.2071133489280832,979,,,0,non-significant
BICD1,0.22716003193653078,0.16116318114715483,979,,,0,non-significant
BICD2,0.3697217591360946,0.3311362831867063,979,0.14535363185731454,0.1592247538380174,649,non-significant
BIRC2,0.49289586230957844,0.410692291396475,979,,,0,non-significant
BLM,0.12246781502776707,0.07155699980367075,979,0.01017669694248023,0.013475254509346878,692,non-significant
BMI1,0.18948432654370223,0.21178039749477456,979,0.07078718186372727,0.08371865407710066,200,non-significant
BMP2K,0.1096495766969203,0.104640726931216,979,0.0456250474946774,0.03817725617163512,653,non-significant
BMPR1A,0.21709837564928475,0.1908531660976955,979,,,0,non-significant
BMPR2,0.22566560623093807,0.20359340886816807,979,,,0,non-significant
BNIP3,0.06587081009104007,0.09856163464470241,979,0.14910281345291704,0.1419428446487815,219,non-significant
BNIP3L,0.31903928933040293,0.32171394281477456,979,,,0,non-significant
BOD1,0.3710493385348682,0.375193399059111,979,,,41,non-significant
BOD1L1,0.2689891291310691,0.2625497751214448,979,,,0,non-significant
BOLA3,0.25876548120306075,0.2693497076651011,979,-0.055507016006259687,-0.017783852746248486,248,non-significant
BPGM,0.25272910960663003,0.2520613532236351,979,,,0,non-significant
BPHL,0.28160168531613394,0.25045342897622913,979,0.22117968697944146,0.19497888719339918,675,non-significant
BPNT1,0.2612412052784953,0.2421028322660025,979,0.04659370440654447,0.017931396921615876,770,non-significant
BRAF,0.22446512285507467,0.20083378986605013,979,,,0,non-significant
BRD1,0.22763909516111752,0.17756550675733693,979,0.18545910760167028,0.1802469309040415,682,non-significant
BRD2,0.1613572784273221,0.13945295337214872,979,0.13694281582940918,0.12067595717626543,675,non-significant
BRD3,0.18825297032794283,0.17838114730592775,979,0.021860974031254837,-0.0014202590211823758,618,non-significant
BRD4,0.21091333895638975,0.12289366359951585,979,0.14387111161967653,0.10446133546082781,766,non-significant
BRD7,0.33504579669357976,0.3100963293789529,979,0.007644459554252581,0.04979061162916053,634,non-significant
BRD9,0.43561834308537273,0.3989775953195855,979,0.21277084774349833,0.14359658282145568,136,non-significant
BRIP1,0.21450799511606894,0.137775472262644,979,,,0,non-significant
BRMS1,0.46425434255216635,0.37878963250824244,979,0.010728265556458654,-0.0028491963070352323,364,non-significant
BRMS1L,0.49598110712931365,0.3983168080427509,979,,,0,non-significant
